time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523232018503,2018-04-09T00:00:18.503000Z,1010.5602406586161,-44,300,964,3007,22,1009.16,27.85,C2:9A:9F:E5:58:27
1523232023963,2018-04-09T00:00:23.963000Z,1014.3766558828136,-44,300,968,3007,22,1009.17,27.85,C2:9A:9F:E5:58:27
1523232029133,2018-04-09T00:00:29.132999Z,1014.3766558828136,-44,300,968,3001,22,1009.16,27.85,C2:9A:9F:E5:58:27
1523232034663,2018-04-09T00:00:34.663000Z,1014.5580318542651,-48,300,968,3001,22,1009.13,27.85,C2:9A:9F:E5:58:27
1523232039953,2018-04-09T00:00:39.953000Z,1013.3824549497589,-48,296,968,2995,22,1009.18,27.85,C2:9A:9F:E5:58:27
1523232045259,2018-04-09T00:00:45.259000Z,1010.7423014794622,-48,300,964,3001,22,1009.17,27.85,C2:9A:9F:E5:58:27
1523232051302,2018-04-09T00:00:51.302000Z,1013.0350438163529,-40,296,968,3007,22,1009.13,27.85,C2:9A:9F:E5:58:27
1523232056903,2018-04-09T00:00:56.903000Z,1023.0307913254616,-40,304,976,3007,22,1009.17,27.86,C2:9A:9F:E5:58:27
1523232061939,2018-04-09T00:01:01.938999Z,1017.2040110027093,-48,296,972,2995,22,1009.09,27.85,C2:9A:9F:E5:58:27
1523232067013,2018-04-09T00:01:07.013000Z,1015.4013984626966,-40,304,968,2989,22,1009.15,27.85,C2:9A:9F:E5:58:27
1523232072043,2018-04-09T00:01:12.042999Z,1014.5580318542651,-48,300,968,2995,22,1009.07,27.85,C2:9A:9F:E5:58:27
1523232077083,2018-04-09T00:01:17.082999Z,1018.571548787811,-52,300,972,3001,22,1009.19,27.86,C2:9A:9F:E5:58:27
1523232082653,2018-04-09T00:01:22.653000Z,1009.2135552002857,-40,296,964,3007,22,1009.07,27.85,C2:9A:9F:E5:58:27
1523232087953,2018-04-09T00:01:27.953000Z,1023.3748091486325,-48,304,976,3007,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232093263,2018-04-09T00:01:33.263000Z,1019.3802038493783,-44,304,972,2995,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232098963,2018-04-09T00:01:38.963000Z,1017.2040110027093,-48,296,972,3001,22,1009.15,27.85,C2:9A:9F:E5:58:27
1523232103953,2018-04-09T00:01:43.953000Z,1014.7551428793056,-52,300,968,3001,22,1009.19,27.84,C2:9A:9F:E5:58:27
1523232108933,2018-04-09T00:01:48.933000Z,1014.0611421408474,-36,300,968,2989,22,1009.16,27.85,C2:9A:9F:E5:58:27
1523232113953,2018-04-09T00:01:53.953000Z,1014.7236076883203,-44,288,972,3001,22,1009.12,27.85,C2:9A:9F:E5:58:27
1523232118973,2018-04-09T00:01:58.973000Z,1013.3824549497589,-48,296,968,3001,22,1009.21,27.85,C2:9A:9F:E5:58:27
1523232124043,2018-04-09T00:02:04.042999Z,1016.8579055108929,-40,296,972,2995,22,1009.16,27.85,C2:9A:9F:E5:58:27
1523232129097,2018-04-09T00:02:09.096999Z,1021.2227964553083,-52,296,976,2995,22,1009.13,27.85,C2:9A:9F:E5:58:27
1523232134643,2018-04-09T00:02:14.642999Z,1017.0231069154722,-44,296,972,2995,22,1009.17,27.84,C2:9A:9F:E5:58:27
1523232139963,2018-04-09T00:02:19.963000Z,1012.8849885352236,-36,296,968,3001,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232145253,2018-04-09T00:02:25.253000Z,1017.2040110027093,-48,296,972,3001,22,1009.15,27.85,C2:9A:9F:E5:58:27
1523232150803,2018-04-09T00:02:30.802999Z,1017.0231069154722,-44,296,972,2995,22,1009.16,27.86,C2:9A:9F:E5:58:27
1523232155933,2018-04-09T00:02:35.933000Z,1021.0269340228004,-48,296,976,2995,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232160923,2018-04-09T00:02:40.923000Z,1015.8661329131905,-44,292,972,2995,22,1009.13,27.85,C2:9A:9F:E5:58:27
1523232166963,2018-04-09T00:02:46.963000Z,1017.0231069154722,-44,296,972,3001,22,1009.19,27.86,C2:9A:9F:E5:58:27
1523232171983,2018-04-09T00:02:51.983000Z,1020.8467073953856,-44,296,976,2995,22,1009.12,27.85,C2:9A:9F:E5:58:27
1523232177043,2018-04-09T00:02:57.042999Z,1011.7232823257553,-36,292,968,3001,22,1009.15,27.85,C2:9A:9F:E5:58:27
1523232182063,2018-04-09T00:03:02.062999Z,1011.0746757782039,-48,288,968,3007,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232187933,2018-04-09T00:03:07.933000Z,1017.4006093963184,-52,296,972,3013,22,1009.14,27.84,C2:9A:9F:E5:58:27
1523232193163,2018-04-09T00:03:13.163000Z,1015.7007433294514,-40,292,972,3001,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232198733,2018-04-09T00:03:18.733000Z,1029.4930791413801,-40,300,984,3013,22,1009.07,27.83,C2:9A:9F:E5:58:27
1523232203953,2018-04-09T00:03:23.953000Z,1020.8467073953856,-44,296,976,3001,22,1009.08,27.84,C2:9A:9F:E5:58:27
1523232208943,2018-04-09T00:03:28.943000Z,1016.0472429961119,-48,292,972,2995,22,1009.04,27.83,C2:9A:9F:E5:58:27
1523232213933,2018-04-09T00:03:33.933000Z,1019.6940717685869,-44,292,976,3007,22,1009.07,27.83,C2:9A:9F:E5:58:27
1523232219463,2018-04-09T00:03:39.463000Z,1019.6940717685869,-44,292,976,3007,22,1009.02,27.84,C2:9A:9F:E5:58:27
1523232224953,2018-04-09T00:03:44.953000Z,1017.2040110027093,-48,296,972,2995,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232230093,2018-04-09T00:03:50.092999Z,1014.0611421408474,-36,300,968,3001,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232235643,2018-04-09T00:03:55.642999Z,1022.3893583170748,-44,288,980,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232240943,2018-04-09T00:04:00.943000Z,1019.6940717685869,-44,292,976,2995,22,1009.14,27.84,C2:9A:9F:E5:58:27
1523232246243,2018-04-09T00:04:06.243000Z,1020.6821248557261,-40,296,976,2995,22,1009.14,27.84,C2:9A:9F:E5:58:27
1523232251813,2018-04-09T00:04:11.812999Z,1021.0269340228004,-48,296,976,2995,22,1009.01,27.83,C2:9A:9F:E5:58:27
1523232256953,2018-04-09T00:04:16.953000Z,1023.7030819529655,-48,292,980,3001,22,1009.02,27.84,C2:9A:9F:E5:58:27
1523232261933,2018-04-09T00:04:21.933000Z,1008.3967473172452,-48,292,964,2995,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232266963,2018-04-09T00:04:26.963000Z,1020.8467073953856,-44,296,976,3001,22,1009.1,27.84,C2:9A:9F:E5:58:27
1523232272003,2018-04-09T00:04:32.003000Z,1015.7007433294514,-40,292,972,2995,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232277043,2018-04-09T00:04:37.042999Z,1023.3591744837196,-40,292,980,2995,22,1009.01,27.83,C2:9A:9F:E5:58:27
1523232282933,2018-04-09T00:04:42.933000Z,1019.6940717685869,-44,292,976,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232288193,2018-04-09T00:04:48.193000Z,1013.0350438163529,-40,296,968,3007,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232293729,2018-04-09T00:04:53.729000Z,1021.0269340228004,-48,296,976,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232298959,2018-04-09T00:04:58.959000Z,1018.375176445302,-48,300,972,2995,22,1009.17,27.84,C2:9A:9F:E5:58:27
1523232304309,2018-04-09T00:05:04.309000Z,1019.6940717685869,-44,292,976,2995,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232309893,2018-04-09T00:05:09.892999Z,1021.0269340228004,-48,296,976,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232314943,2018-04-09T00:05:14.943000Z,1022.3893583170748,-44,288,980,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232320493,2018-04-09T00:05:20.493000Z,1016.7084144433938,-36,296,972,3013,22,1009.06,27.83,C2:9A:9F:E5:58:27
1523232325953,2018-04-09T00:05:25.953000Z,1020.8467073953856,-44,296,976,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232331103,2018-04-09T00:05:31.102999Z,1024.8512087127574,-48,296,980,3001,22,1009.15,27.85,C2:9A:9F:E5:58:27
1523232336963,2018-04-09T00:05:36.963000Z,1027.0111976020514,-44,304,980,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232342223,2018-04-09T00:05:42.223000Z,1020.8467073953856,-44,296,976,2995,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232347783,2018-04-09T00:05:47.782999Z,1016.0472429961119,-48,292,972,3007,22,1009.1,27.84,C2:9A:9F:E5:58:27
1523232352953,2018-04-09T00:05:52.953000Z,1021.8493039582696,-40,300,976,3001,22,1009.15,27.83,C2:9A:9F:E5:58:27
1523232357953,2018-04-09T00:05:57.953000Z,1021.2227964553083,-52,296,976,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232362963,2018-04-09T00:06:02.963000Z,1014.2110234068648,-40,300,968,2995,22,1009.16,27.84,C2:9A:9F:E5:58:27
1523232367973,2018-04-09T00:06:07.973000Z,1016.8579055108929,-40,296,972,3007,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232373023,2018-04-09T00:06:13.023000Z,1020.6821248557261,-40,296,976,3001,22,1009.06,27.84,C2:9A:9F:E5:58:27
1523232378093,2018-04-09T00:06:18.092999Z,1019.6940717685869,-44,292,976,3007,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232383623,2018-04-09T00:06:23.622999Z,1020.6821248557261,-40,296,976,3007,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232388943,2018-04-09T00:06:28.943000Z,1017.1174956709771,-36,284,976,3007,22,1009.13,27.84,C2:9A:9F:E5:58:27
1523232394193,2018-04-09T00:06:34.193000Z,1024.6716547265275,-44,296,980,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232399773,2018-04-09T00:06:39.773000Z,1016.0472429961119,-48,292,972,3001,22,1009.03,27.83,C2:9A:9F:E5:58:27
1523232404963,2018-04-09T00:06:44.963000Z,1015.8661329131905,-44,292,972,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232410903,2018-04-09T00:06:50.903000Z,1013.0350438163529,-40,296,968,3001,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232416423,2018-04-09T00:06:56.423000Z,1017.0231069154722,-44,296,972,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232421943,2018-04-09T00:07:01.943000Z,1023.3748091486325,-48,304,976,3001,22,1009.08,27.84,C2:9A:9F:E5:58:27
1523232427053,2018-04-09T00:07:07.052999Z,1031.3641451979995,-48,292,988,3001,22,1009.06,27.83,C2:9A:9F:E5:58:27
1523232432093,2018-04-09T00:07:12.092999Z,1014.5580318542651,-48,300,968,2995,22,1009.02,27.84,C2:9A:9F:E5:58:27
1523232437643,2018-04-09T00:07:17.642999Z,1011.8735098815464,-40,292,968,3001,22,1009.15,27.83,C2:9A:9F:E5:58:27
1523232443693,2018-04-09T00:07:23.693000Z,1016.8579055108929,-40,296,972,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232449933,2018-04-09T00:07:29.933000Z,1014.7551428793056,-52,300,968,2989,22,1009.11,27.84,C2:9A:9F:E5:58:27
1523232455323,2018-04-09T00:07:35.322999Z,1013.2008685349614,-44,296,968,3001,22,1009.04,27.83,C2:9A:9F:E5:58:27
1523232460953,2018-04-09T00:07:40.953000Z,1007.0630566156223,-44,288,964,3001,22,1009.12,27.83,C2:9A:9F:E5:58:27
1523232465953,2018-04-09T00:07:45.953000Z,1023.5233265539189,-44,292,980,2995,22,1009,27.83,C2:9A:9F:E5:58:27
1523232470969,2018-04-09T00:07:50.969000Z,1014.3766558828136,-44,300,968,2989,22,1009.12,27.82,C2:9A:9F:E5:58:27
1523232476513,2018-04-09T00:07:56.513000Z,1017.0231069154722,-44,296,972,3001,22,1009.09,27.83,C2:9A:9F:E5:58:27
1523232481943,2018-04-09T00:08:01.943000Z,1010.7264714055925,-40,288,968,2995,22,1009.02,27.83,C2:9A:9F:E5:58:27
1523232487128,2018-04-09T00:08:07.128000Z,1017.0231069154722,-44,296,972,3001,22,1009.08,27.83,C2:9A:9F:E5:58:27
1523232492959,2018-04-09T00:08:12.959000Z,1020.8467073953856,-44,296,976,3001,22,1009.06,27.83,C2:9A:9F:E5:58:27
1523232498243,2018-04-09T00:08:18.243000Z,1016.8579055108929,-40,296,972,3001,22,1009.05,27.83,C2:9A:9F:E5:58:27
1523232503803,2018-04-09T00:08:23.802999Z,1014.4082018595867,-36,288,972,3001,22,1009.02,27.83,C2:9A:9F:E5:58:27
1523232508943,2018-04-09T00:08:28.943000Z,1011.8735098815464,-40,292,968,2995,22,1009.11,27.83,C2:9A:9F:E5:58:27
1523232513933,2018-04-09T00:08:33.933000Z,1013.0350438163529,-40,296,968,2995,22,1009,27.83,C2:9A:9F:E5:58:27
1523232519469,2018-04-09T00:08:39.469000Z,1017.2040110027093,-48,296,972,2995,22,1009.1,27.82,C2:9A:9F:E5:58:27
1523232524963,2018-04-09T00:08:44.963000Z,1016.0472429961119,-48,292,972,3013,22,1009.09,27.82,C2:9A:9F:E5:58:27
1523232530073,2018-04-09T00:08:50.072999Z,1022.1937194093887,-48,300,976,3001,22,1009,27.83,C2:9A:9F:E5:58:27
1523232535953,2018-04-09T00:08:55.953000Z,1018.375176445302,-48,300,972,3001,22,1009.16,27.83,C2:9A:9F:E5:58:27
1523232541693,2018-04-09T00:09:01.693000Z,1022.1937194093887,-48,300,976,3019,22,1009.05,27.83,C2:9A:9F:E5:58:27
1523232546933,2018-04-09T00:09:06.933000Z,1017.0231069154722,-44,296,972,3001,22,1009.06,27.82,C2:9A:9F:E5:58:27
1523232552288,2018-04-09T00:09:12.288000Z,1023.3591744837196,-40,292,980,3007,22,1009.08,27.83,C2:9A:9F:E5:58:27
1523232557833,2018-04-09T00:09:17.832999Z,1024.5076866475918,-40,296,980,3013,22,1009.01,27.82,C2:9A:9F:E5:58:27
1523232562943,2018-04-09T00:09:22.943000Z,1027.19034263373,-40,292,984,3013,22,1009.03,27.82,C2:9A:9F:E5:58:27
1523232568933,2018-04-09T00:09:28.933000Z,1016.7084144433938,-36,296,972,3001,22,1009.07,27.82,C2:9A:9F:E5:58:27
1523232573941,2018-04-09T00:09:33.940999Z,1016.8579055108929,-40,296,972,3001,22,1009.09,27.82,C2:9A:9F:E5:58:27
1523232579011,2018-04-09T00:09:39.010999Z,1016.8579055108929,-40,296,972,2995,22,1009.06,27.82,C2:9A:9F:E5:58:27
1523232584583,2018-04-09T00:09:44.582999Z,1017.2040110027093,-48,296,972,2989,22,1009.03,27.82,C2:9A:9F:E5:58:27
1523232589963,2018-04-09T00:09:49.963000Z,1016.8579055108929,-40,296,972,2995,22,1009.07,27.82,C2:9A:9F:E5:58:27
1523232595663,2018-04-09T00:09:55.663000Z,1017.0231069154722,-44,296,972,3001,22,1008.99,27.82,C2:9A:9F:E5:58:27
1523232600953,2018-04-09T00:10:00.953000Z,1016.0472429961119,-48,292,972,3001,22,1009.12,27.82,C2:9A:9F:E5:58:27
1523232606793,2018-04-09T00:10:06.792999Z,1017.2040110027093,-48,296,972,2995,22,1009.02,27.81,C2:9A:9F:E5:58:27
1523232611949,2018-04-09T00:10:11.948999Z,1021.0269340228004,-48,296,976,3001,22,1008.98,27.82,C2:9A:9F:E5:58:27
1523232616923,2018-04-09T00:10:16.923000Z,1012.0395249198522,-44,292,968,3001,22,1009.06,27.82,C2:9A:9F:E5:58:27
1523232621963,2018-04-09T00:10:21.963000Z,1023.3591744837196,-40,292,980,2995,22,1009.05,27.81,C2:9A:9F:E5:58:27
1523232626973,2018-04-09T00:10:26.973000Z,1021.8493039582696,-40,300,976,3007,22,1009.03,27.81,C2:9A:9F:E5:58:27
1523232632049,2018-04-09T00:10:32.049000Z,1017.0231069154722,-44,296,972,2995,22,1009.06,27.82,C2:9A:9F:E5:58:27
1523232637063,2018-04-09T00:10:37.062999Z,1013.2008685349614,-44,296,968,2995,22,1009.01,27.82,C2:9A:9F:E5:58:27
1523232642653,2018-04-09T00:10:42.653000Z,1015.7007433294514,-40,292,972,3001,22,1008.98,27.82,C2:9A:9F:E5:58:27
1523232647963,2018-04-09T00:10:47.963000Z,1014.7236076883203,-44,288,972,2995,22,1009.08,27.81,C2:9A:9F:E5:58:27
1523232653963,2018-04-09T00:10:53.963000Z,1015.8661329131905,-44,292,972,3001,22,1009.05,27.81,C2:9A:9F:E5:58:27
1523232659789,2018-04-09T00:10:59.789000Z,1013.2008685349614,-44,296,968,3013,22,1008.99,27.81,C2:9A:9F:E5:58:27
1523232664953,2018-04-09T00:11:04.953000Z,1016.8579055108929,-40,296,972,3007,22,1009.02,27.81,C2:9A:9F:E5:58:27
1523232669958,2018-04-09T00:11:09.957999Z,1022.076318089799,-36,288,980,2995,22,1009.06,27.8,C2:9A:9F:E5:58:27
1523232674943,2018-04-09T00:11:14.943000Z,1016.8579055108929,-40,296,972,3013,22,1009.05,27.8,C2:9A:9F:E5:58:27
1523232679972,2018-04-09T00:11:19.971999Z,1015.7007433294514,-40,292,972,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232685043,2018-04-09T00:11:25.042999Z,1020.8467073953856,-44,296,976,2995,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232690073,2018-04-09T00:11:30.072999Z,1015.8661329131905,-44,292,972,3007,22,1009.02,27.81,C2:9A:9F:E5:58:27
1523232695603,2018-04-09T00:11:35.602999Z,1011.9367569171504,-48,304,964,3013,22,1009.01,27.8,C2:9A:9F:E5:58:27
1523232700943,2018-04-09T00:11:40.943000Z,1013.2008685349614,-44,296,968,3013,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232706233,2018-04-09T00:11:46.233000Z,1022.0136985383317,-44,300,976,3001,22,1008.91,27.81,C2:9A:9F:E5:58:27
1523232711803,2018-04-09T00:11:51.802999Z,1012.4188856397336,-52,292,968,3001,22,1008.93,27.8,C2:9A:9F:E5:58:27
1523232717343,2018-04-09T00:11:57.342999Z,1022.1937194093887,-48,300,976,2995,22,1009.08,27.8,C2:9A:9F:E5:58:27
1523232722943,2018-04-09T00:12:02.943000Z,1020.8467073953856,-44,296,976,3013,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232727963,2018-04-09T00:12:07.963000Z,1023.5233265539189,-44,292,980,2995,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232733039,2018-04-09T00:12:13.039000Z,1017.0231069154722,-44,296,972,3001,22,1009,27.8,C2:9A:9F:E5:58:27
1523232738063,2018-04-09T00:12:18.062999Z,1023.3591744837196,-40,292,980,2995,22,1008.96,27.79,C2:9A:9F:E5:58:27
1523232743103,2018-04-09T00:12:23.102999Z,1022.1937194093887,-48,300,976,3001,22,1008.97,27.8,C2:9A:9F:E5:58:27
1523232749683,2018-04-09T00:12:29.683000Z,1025.6705123966467,-40,300,980,2995,22,1008.94,27.79,C2:9A:9F:E5:58:27
1523232755243,2018-04-09T00:12:35.243000Z,1025.6705123966467,-40,300,980,2995,22,1008.97,27.8,C2:9A:9F:E5:58:27
1523232760813,2018-04-09T00:12:40.812999Z,1015.8661329131905,-44,292,972,3001,22,1008.96,27.79,C2:9A:9F:E5:58:27
1523232765963,2018-04-09T00:12:45.963000Z,1019.8745020834672,-48,292,976,3001,22,1008.9,27.79,C2:9A:9F:E5:58:27
1523232770921,2018-04-09T00:12:50.921000Z,1017.0231069154722,-44,296,972,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232776463,2018-04-09T00:12:56.463000Z,1009.5622813873347,-48,296,964,2995,22,1008.88,27.78,C2:9A:9F:E5:58:27
1523232781933,2018-04-09T00:13:01.933000Z,1014.7236076883203,-44,288,972,3001,22,1008.93,27.79,C2:9A:9F:E5:58:27
1523232787063,2018-04-09T00:13:07.062999Z,1025.6705123966467,-40,300,980,3013,22,1009.02,27.79,C2:9A:9F:E5:58:27
1523232792623,2018-04-09T00:13:12.622999Z,1011.7232823257553,-36,292,968,2995,22,1008.94,27.79,C2:9A:9F:E5:58:27
1523232797953,2018-04-09T00:13:17.953000Z,1022.1937194093887,-48,300,976,3001,22,1008.94,27.79,C2:9A:9F:E5:58:27
1523232803213,2018-04-09T00:13:23.213000Z,1017.0231069154722,-44,296,972,3001,22,1009.01,27.8,C2:9A:9F:E5:58:27
1523232808963,2018-04-09T00:13:28.963000Z,1014.2110234068648,-40,300,968,3013,22,1008.92,27.8,C2:9A:9F:E5:58:27
1523232814305,2018-04-09T00:13:34.305000Z,1009.3800077275158,-44,296,964,3001,22,1008.92,27.8,C2:9A:9F:E5:58:27
1523232819893,2018-04-09T00:13:39.892999Z,1016.8579055108929,-40,296,972,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232825440,2018-04-09T00:13:45.440000Z,1024.8512087127574,-48,296,980,3001,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232830912,2018-04-09T00:13:50.911999Z,1021.8493039582696,-40,300,976,2995,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232836063,2018-04-09T00:13:56.062999Z,1028.3345759041656,-40,296,984,3001,22,1008.97,27.8,C2:9A:9F:E5:58:27
1523232841633,2018-04-09T00:14:01.632999Z,1021.0269340228004,-48,296,976,2995,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232846943,2018-04-09T00:14:06.943000Z,1020.8467073953856,-44,296,976,2995,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232852183,2018-04-09T00:14:12.183000Z,1013.3824549497589,-48,296,968,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232857733,2018-04-09T00:14:17.733000Z,1021.0269340228004,-48,296,976,3001,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232863773,2018-04-09T00:14:23.773000Z,1017.6128930000838,-48,284,976,3001,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232868933,2018-04-09T00:14:28.933000Z,1016.0472429961119,-48,292,972,2995,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232873933,2018-04-09T00:14:33.933000Z,1017.0231069154722,-44,296,972,2995,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232879453,2018-04-09T00:14:39.453000Z,1027.532967840935,-48,292,984,2989,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232884943,2018-04-09T00:14:44.943000Z,1021.0269340228004,-48,296,976,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232890043,2018-04-09T00:14:50.042999Z,1014.7236076883203,-44,288,972,2995,22,1008.91,27.81,C2:9A:9F:E5:58:27
1523232895103,2018-04-09T00:14:55.102999Z,1013.2008685349614,-44,296,968,3001,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232900663,2018-04-09T00:15:00.663000Z,1019.8745020834672,-48,292,976,3001,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232905953,2018-04-09T00:15:05.953000Z,1017.0231069154722,-44,296,972,2995,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232911263,2018-04-09T00:15:11.263000Z,1019.6940717685869,-44,292,976,2989,22,1008.92,27.8,C2:9A:9F:E5:58:27
1523232916783,2018-04-09T00:15:16.782999Z,1017.0231069154722,-44,296,972,3007,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232921933,2018-04-09T00:15:21.933000Z,1019.5293031590608,-40,292,976,3007,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232926923,2018-04-09T00:15:26.923000Z,1017.4320616139438,-44,284,976,3001,22,1008.95,27.8,C2:9A:9F:E5:58:27
1523232931933,2018-04-09T00:15:31.933000Z,1017.0231069154722,-44,296,972,2989,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232936970,2018-04-09T00:15:36.970000Z,1015.8661329131905,-44,292,972,3013,22,1008.9,27.8,C2:9A:9F:E5:58:27
1523232942053,2018-04-09T00:15:42.052999Z,1010.5602406586161,-44,300,964,3007,22,1008.92,27.8,C2:9A:9F:E5:58:27
1523232947598,2018-04-09T00:15:47.598000Z,1015.8661329131905,-44,292,972,3001,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232953159,2018-04-09T00:15:53.158999Z,1014.7236076883203,-44,288,972,3001,22,1008.88,27.79,C2:9A:9F:E5:58:27
1523232958713,2018-04-09T00:15:58.713000Z,1008.3967473172452,-48,292,964,3007,22,1008.94,27.79,C2:9A:9F:E5:58:27
1523232963943,2018-04-09T00:16:03.943000Z,1019.5293031590608,-40,292,976,2995,22,1008.85,27.79,C2:9A:9F:E5:58:27
1523232969901,2018-04-09T00:16:09.901000Z,1020.6821248557261,-40,296,976,3001,22,1008.86,27.8,C2:9A:9F:E5:58:27
1523232974963,2018-04-09T00:16:14.963000Z,1019.8745020834672,-48,292,976,3007,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232980413,2018-04-09T00:16:20.413000Z,1019.3802038493783,-36,292,976,3013,22,1008.88,27.79,C2:9A:9F:E5:58:27
1523232985935,2018-04-09T00:16:25.934999Z,1012.0395249198522,-44,292,968,3001,22,1008.89,27.8,C2:9A:9F:E5:58:27
1523232991053,2018-04-09T00:16:31.052999Z,1017.0231069154722,-44,296,972,3013,22,1008.9,27.79,C2:9A:9F:E5:58:27
1523232996598,2018-04-09T00:16:36.598000Z,1020.6821248557261,-40,296,976,3001,22,1008.9,27.79,C2:9A:9F:E5:58:27
1523233001939,2018-04-09T00:16:41.938999Z,1020.8467073953856,-44,296,976,2995,22,1008.86,27.79,C2:9A:9F:E5:58:27
1523233007213,2018-04-09T00:16:47.213000Z,1011.0746757782039,-48,288,968,2995,22,1008.82,27.79,C2:9A:9F:E5:58:27
1523233012943,2018-04-09T00:16:52.943000Z,1012.2213196727284,-48,292,968,2995,22,1008.87,27.79,C2:9A:9F:E5:58:27
1523233018299,2018-04-09T00:16:58.299000Z,1015.8661329131905,-44,292,972,3001,22,1008.79,27.77,C2:9A:9F:E5:58:27
1523233023873,2018-04-09T00:17:03.872999Z,1022.0136985383317,-44,300,976,3013,22,1008.85,27.79,C2:9A:9F:E5:58:27
1523233028903,2018-04-09T00:17:08.903000Z,1019.5293031590608,-40,292,976,2995,22,1008.81,27.78,C2:9A:9F:E5:58:27
1523233034433,2018-04-09T00:17:14.433000Z,1010.3939825632375,-40,300,964,2989,22,1008.84,27.78,C2:9A:9F:E5:58:27
1523233039943,2018-04-09T00:17:19.943000Z,1020.6821248557261,-40,296,976,3001,22,1008.8,27.78,C2:9A:9F:E5:58:27
1523233045029,2018-04-09T00:17:25.029000Z,1014.5580318542651,-40,288,972,2995,22,1008.91,27.78,C2:9A:9F:E5:58:27
1523233050076,2018-04-09T00:17:30.075999Z,1024.5076866475918,-40,296,980,2995,22,1008.85,27.79,C2:9A:9F:E5:58:27
1523233055623,2018-04-09T00:17:35.622999Z,1018.375176445302,-48,300,972,3001,22,1008.79,27.77,C2:9A:9F:E5:58:27
1523233060913,2018-04-09T00:17:40.913000Z,1021.0269340228004,-48,296,976,3001,22,1008.81,27.78,C2:9A:9F:E5:58:27
1523233066203,2018-04-09T00:17:46.203000Z,1019.6940717685869,-44,292,976,3001,22,1008.87,27.78,C2:9A:9F:E5:58:27
1523233071753,2018-04-09T00:17:51.753000Z,1018.1944804407457,-44,300,972,2995,22,1008.86,27.78,C2:9A:9F:E5:58:27
1523233076891,2018-04-09T00:17:56.891000Z,1017.0231069154722,-44,296,972,3001,22,1008.79,27.77,C2:9A:9F:E5:58:27
